hotel_name,id,review
壹号酒店(松江万达店),M383191****,酒店的价格非常合理，性价比很高，房间设备很全，员工们服务也非常到位，强力推荐
壹号酒店(松江万达店),M432066****,这是我见过最脏最混乱的酒店！！！从来没有写过这么长的评价，真的很令人气愤 晚上入住连续换了好几间房，居然都没有打扫！！！床铺都是乱的，像刚被人滚过一样！！！卫生状况严重堪忧！
壹号酒店(松江万达店),_WeChat331437****,相当炸裂的一次入住体验，浴缸和床单上有前一位住客的体毛，毛巾有异味，墙壁上挂着不明液体干涸的痕迹。 虽然是一个人睡，但左邻右舍打桩的声音让我并不觉得孤单，床单和被子丰富的味道让我感觉身边挤满了大哥和小妹，心里暖暖的。
壹号酒店(松江万达店),M456035****,房间环境不好，阿姨不负责任，枕头上都是血迹还不换，这已经不是卫生的问题，这是健康的问题了！因为上了一天课，吃完饭回酒店比较晚，没注意检查就在带血的枕头睡了一夜，第二天看枕头有点脏，翻面才发现反面都是血！找前台，一个小姑娘还态度恶劣.
壹号酒店(松江万达店),M515536****,满分💯分 进来看着大厅环境就感觉特别上档次 很是高大上，大厅的沙发还可以坐在那里吃饭，软软的，服务态度好，主动告知 Wi-Fi 密码，下雨还拿伞出门迎接太有眼色了，家的感觉
壹号酒店(松江万达店),匿名用户,房间的设施很OK，星空浪漫主题房很适合情侣入住，对面是万达，有卖一些小吃的，也价格也非常的优惠，前台小姐很好看，服务也很好，房间卫生很好，下次可以带朋友一起来
壹号酒店(松江万达店),M250361****,轻奢主题房主的很少，还是个外窗，很干净也很卫生，下午2点之前退房也挺晚的，很适合情侣来入住
壹号酒店(松江万达店),M282790****,房型很独特，很适合情侣来住，房价比周围都很优惠。卫生打扫的很干净，窗户也很大，也没有味道。风格也非常的好看，很时尚，前台服务人员也很热情
壹号酒店(松江万达店),M466114****,这个酒店的地理位置很不错，也很好找，就在万达正对面的4号楼。离欢乐谷很近，假期方便带小孩来玩
壹号酒店(松江万达店),匿名用户,环境不错，阿姨很热情的打扫卫生，前台服务周到，便捷服务，门口就有超市烧烤店，设施齐全
壹号酒店(松江万达店),M347476****,每一个装饰品都是精心装饰的，壁纸也很独特，特别显露出这家民宿的用心和独特，服务很好很热情，保持卫生方面，真是做到了精益求精，让人佩服他们对清洁的执着追求.
壹号酒店(松江万达店),匿名用户,入住房间新风系统声音太大，前台小姐姐给换了个房间，服务态度还是很好的，不过主题房确实不建议一个人去住
壹号酒店(松江万达店),M738717****,位置不错的，万达旁边很好找，而且很安静，他们家主题房风格也很多，经常和女朋友来
壹号酒店(松江万达店),M597077****,房间很大，看起来也很亮堂，房间很干净，也住的很舒服，服务态度很好，对面就是小吃街，出行很方便，推荐推荐
壹号酒店(松江万达店),匿名用户,房间很有特色，窗户很大，还有电视机，前台服务很好的，也很好看，卫生挺好的，附近有卖小吃，都蛮不错的，建议
壹号酒店(松江万达店),匿名用户,住宿环境非常好，酒店也很好找，屋内卫生干净，布局也很舒服，热水也很快，电视也可以用，各方面都很满意
壹号酒店(松江万达店),匿名用户,房间浴缸特别的大，房间全部是镜子，然后装修风格非常的独特，也非常的好看，前台服务非常的好，OK
壹号酒店(松江万达店),匿名用户,房间挺大的，干净整洁，没有异味儿，入住体验挺好的，装修也有风格666
壹号酒店(松江万达店),M225595****,卫生实在太差了。设施也旧，床单看上去像没换。卫生间都是头发。打扫还不彻底留下上一个人的短裤。地板也很脏。前台服务也不行。最起码对客服务都没有。顾客来了爱搭不理的。更别说站起来服务了。客房也没有网络。总得来说管理很混乱。携程第一个差评给你了。
壹号酒店(松江万达店),M48148****,五一凌晨到的，就打算睡一晚，这个装修用力过度，很夸张 重点，停车收费🙈
壹号酒店(松江万达店),M498593****,大厅卫生整洁，然后房间很有特色，对面是万达，附近有小吃，前台服务很热情，也很好看，出发时间也挺晚的。总体来说挺OK的
壹号酒店(松江万达店),匿名用户,小姐姐服务好 挺好的 卫生干净 前台好看
壹号酒店(松江万达店),M350715****,这个拳击房非常的有情调，然后特别适合小情侣来住，灯的氛围感非常的满足 不错价格优惠 不错，值得推荐一下
壹号酒店(松江万达店),匿名用户,住在这里的几天是如此地惬意。不仅房间内干净整洁，家电设施一应俱全，方便了我的生活。前台小姐姐服务好 对面万达可以带孩子一起来 价格优惠
壹号酒店(松江万达店),M361144****,服务周到，环境优美，设施齐全，值得推荐
壹号酒店(松江万达店),M734068****,酒店很好 卫生也很干净 看着很高级 前台小姐姐服务也跟热情 特别温柔 下次还来 推荐！
壹号酒店(松江万达店),M499940****,不黑不吹 卫生差 床单也没换 ，住过最脏的酒店 价格便宜 才150+
壹号酒店(松江万达店),M332169****,已经第五次入住了 还是忍不住来好评下 房间很干净 前台小姐姐很热情 推荐 推荐！
壹号酒店(松江万达店),M533403****,这家酒店真是太棒了！房间很干净，床品也很舒适，酒店的员工服务态度非常好，让人感觉非常亲切，强力推荐！
壹号酒店(松江万达店),匿名用户,住着很舒服 环境很好 体验感很棒
壹号酒店(松江万达店),M351555****,挺不错的，房间干净。安静整洁
壹号酒店(松江万达店),匿名用户,酒店大厅很舒适，房间风格很有特色，房间还是朝阳的[耶]总体来说还是很有性价比的，前台小姐姐也很耐心
壹号酒店(松江万达店),M449570****,房间卫生，很大很敞亮，前台服务很好，也很好看，然后对面是万达，吃的蛮多的 好评
壹号酒店(松江万达店),匿名用户,1. 携程写的2023年开业，实际上又破又旧，屋顶都掉皮了 2. 写的禁烟，但刚进门就看到工作人员在抽烟，询问过后，工作人员说并不禁烟 3. 卫生很差，到处脏兮兮的，全是灰 4. 价格不稳定，一开始预订的时候270，到酒店之后变成230 5. 酒店实际情况与携程好评不符，有理由认为好评是刷出来的 6. 半夜12点被吵醒，哐当哐当的声音
壹号酒店(松江万达店),M32482****,就是很差。很多设施都脏兮兮的，马桶容易堵，浴室有一股下水道的味道，床也是潮的一股霉味，床下的踏板一脚一个坑…走廊也很迷幻，像是KTV又像是那种黑工厂…咱就是说谁会想要一个带着下水道味道的奇怪森林play呢？ 而且我刚办入住的时候前台还把房间弄错了，给了我一张房间里有人的卡，我刷卡之后门被挂链挡住不能全开，然后听到了房间里的男人大吼一声…（我想对方也很有心理阴影）
壹号酒店(松江万达店),匿名用户,小姐姐好看服务好 挺好的卫生好
壹号酒店(松江万达店),匿名用户,干净卫生服务到位
壹号酒店(松江万达店),匿名用户,附近办事 路过找了这家酒店 升级了房型 蛮不错的 物美价廉 比想象中好很多， 地段也比较方便马路对象就是万达 吃的东西比较多 这边比较安静的 闹中取静 ，下次还会选这家酒店
壹号酒店(松江万达店),M698942****,非常好干净卫生
壹号酒店(松江万达店),匿名用户,住的很舒心，服务也很好，房间干净，非常推荐。
壹号酒店(松江万达店),江湖人称强哥哥,酒店环境非常好，适合情侣约会，很有情景
壹号酒店(松江万达店),匿名用户,小姐姐服务挺好的 不错 房间不错 特别有特色 适合情侣💑
壹号酒店(松江万达店),匿名用户,很不错卫生很好
壹号酒店(松江万达店),M559275****,商务大床房，房间很大，然后厕所也是隔开的。1米8的大床，还是外窗，还有电视机，一个全身镜，然后服务还可以，阿姨也很有礼貌，然后旁边有卖小吃，可以推荐过来出差
壹号酒店(松江万达店),M321175****,服务很好，卫生很干净，设施很齐全
壹号酒店(松江万达店),M502970****,环境特别好，前台小姐姐也很热情。
壹号酒店(松江万达店),M462177****,酒店上显示是商务型，实际点都不符，不像正规酒店，就跟ktv娱乐场所一样，走廊也像迷宫一样。整个环境都不好，陈旧，脏差。。刷卡进房间吓到了，床边上就是一个很大的透明浴缸，这完全不是图片上显示的正常的酒店房间设施，而且隔壁是有ktv音响唱歌的声音的，声音很大。看到环境等等，不想入住。 立即下来与前台协商退掉重新找过酒店，但是前台态度非常差，就是不让退，未入住，只是刷卡进门看了一眼，之后联系平台客服为我多次沟通，酒店都不给退款。非常让人恶心。
壹号酒店(松江万达店),M500181****,全新房，然后这个床也挺好玩的，然后上面的装饰上面有一个全面镜，然后设施还行。然后地理位置也可以，我们来找酒店也很方便，然后对面也是万达，然后还可以吧
壹号酒店(松江万达店),M263287****,干净安全又卫生，十分满意，继续保持。
壹号酒店(松江万达店),206196****,环境不错性价比高 服务好
壹号酒店(松江万达店),匿名用户,这个豪华大床房挺不错的，然后内饰很好看。外观也特别的梦幻，都很不错，房间干净整齐，前台服务热情还不错，对面是万达，可以买一些好吃的，也方便带小孩子来玩，离地铁站也挺近
壹号酒店(松江万达店),M736889****,卫生干净，服务好，前台小姐姐还漂亮
壹号酒店(松江万达店),_WeChat417022****,很满意 前台小姐姐很温柔
壹号酒店(松江万达店),_WeChat290570****,房间设施很独特，然后还有很有风格，房间卫生还可以，牙具什么的房间里面都有，不需要从前台拿，然后前台服务很热情，旁边有卖小吃，对面是万达，适合带孩子来玩
壹号酒店(松江万达店),戈特马丁根李林甫,这个爱心的房间也很好看，粉粉的，然后上面的那个爱心图案也可以，它那个灯光是五颜六色的，然后厕所什么的也是分开的，价格也很优惠，才100多
壹号酒店(松江万达店),M740103****,住房体验很好。这家酒店给我留下了非常深刻的印象，房间很宽敞干净，服务态度也很好，是商务出差和旅游的理想住宿地点。非常喜欢这家酒店的氛围，安静、雅致，让人可以放松身心。服务人员细致周到的服务让人印象深刻。这家酒店的地理位置非常便利，交通十分方便。房间宽敞明亮，装饰精美，床品舒适，让我觉得整个住宿过程非常愉快。
壹号酒店(松江万达店),M494301****,房间很干净，也特别的有特色，然后前台服务很好，很热情，退房也挺晚的，很适合情侣来住，非常有情调
壹号酒店(松江万达店),_WeChat298904****,服务设施都很好
壹号酒店(松江万达店),_WeChat15331****,房间很干净服务员也很热情
壹号酒店(松江万达店),M604881****,非常垃圾，打开门看到这个山顶洞直接yue 了，和网上订购的图片完全不一样，床单也脏，还有头发。地板也脏，倒闭吧。
壹号酒店(松江万达店),M643575****,这家酒店整体还可以，房间照片还没有拍。然后大厅就很干净，服务也很好，也很热情就在万达旁边吃饭也很方便，房间也特别的有情调，适合情侣过来，下次还来住。
壹号酒店(松江万达店),匿名用户,他这个房型是以浪漫樱花为主，然后房型也还可以，樱花喜欢花的还可以。旁边有卖小吃。附近也有一个万达前台服务。嗯，OK
壹号酒店(松江万达店),匿名用户,小姐姐服务 挺好的 不错
壹号酒店(松江万达店),M24850****,好好好 挺好的
壹号酒店(松江万达店),M47379****,满意，环境不错，卫生干净。
壹号酒店(松江万达店),yire森,房间很大，很好，也不错，也很安静 都挺不错的 还可以 重点卫生不错 地理位置也很可以 出门对面就是松看万达 随便吃
壹号酒店(松江万达店),M487115****,房间样式还行😊 房间不错，然后旁边有卖小吃，然后前台服务很热情也很好看建议老板多找这样的
壹号酒店(松江万达店),匿名用户,万达金街过来100米左右，床大也舒服，卫生间水也大，真的很不错，新店价格实惠，服务好，前台接待美女热情又漂亮，
壹号酒店(松江万达店),M16629****,房间是木屋型的，也很有特色，有点像那个民宿的房型，然后房间里面的话 感觉不错
壹号酒店(松江万达店),M520463****,设施：设施完备齐全， 卫生：卫生干净整洁， 环境：环境安静舒服， 服务：服务周到热情， 性价比比较高，周边生活交通便利，值得推荐，给个贊！
壹号酒店(松江万达店),蚀月灵星,很糟糕的体验，订的是商务大床房，给的明显是情趣房，给客户带来了不好的体验。
壹号酒店(松江万达店),匿名用户,此次入住，被这里的安宁与雅致深深吸引。房间布局讲究，不错吧， 挺好的 下次还来
壹号酒店(松江万达店),M404259****,我第一次来监狱房 装修不错 很有风格 看着不错 网络速速的快 😎
壹号酒店(松江万达店),M316279****,酒店挺好的装修挺有特点，没有异味，通风可以，床品是可以的，比较新，而且睡着也是很舒服的，比房间要新，酒店免查房退房节省了很多时间，很方便，房间都配有一次性牙膏牙刷，房 间窗户很大光线很好，无线跟电视也很好用，大堂很敞亮，前台很热情，小姐姐说每个房间都是专享的网络，网络真的比其他家好，电视台很多，这点挺好的，讲究。
壹号酒店(松江万达店),阿柠♥,卫生非常好，而且前台小姐姐也很热情 ，而且位置也挺好找的，房间干净整洁，设施齐，非常舒适的一次住宿体验，值得推荐
壹号酒店(松江万达店),118233****,设施：设施齐全完备， 卫生：卫生干净整洁， 环境：环境安静舒适， 服务：服务周到热情， 这是一家性价比很高的酒店，交通非常方便，值得推荐！
壹号酒店(松江万达店),M320727****,入住体验不错，太划算了，房间用的用品很干净、很卫生、设施设备都很齐全、无线呀，电视呀，网络呀，空调呀，都好用，还能投屏看电视，前台接待的小姐姐服务态度很好，很亲切，服 务很细致。可以可以!
壹号酒店(松江万达店),M243344****,跟女朋友一起主动很高兴
壹号酒店(松江万达店),M256405****,房间不错 挺好的 前台服务热情 卫生不错 😂
壹号酒店(松江万达店),匿名用户,房间干净卫生好 服务好价格装修风格设计风格👌
壹号酒店(松江万达店),M331575****,房间很干净，前台服务态度也挺热情，一住进来前台就给我把房间升级了，麻雀虽小，五脏俱全，附近吃喝玩乐都很方便，酒店价格也实惠，我都住十来天了，住进来之前别的酒店我也转了一圈 还是这个酒店好 性价比高，会推荐给朋友😊
壹号酒店(松江万达店),金肆_From鑫开始,因为高铁晚点五六个小时，本没有预定酒店计划的我只得临时入住了一家酒店。 整体来说，这次酒店预定经历还是不错的， 设施：基本齐全，因为自己是黄金会员，还享受了一次免费升舱，房间内设施应有尽有 卫生：干净整洁，就是厕所水箱有一点儿水垢，不影响其他大问题 环境：环境优雅，干净整洁。 服务：服务到位，小姐姐很客气。 总体来说，是一次比较不错的入住体验，如果后续还有需要住酒店的情况，我还是会推荐的。（当然，不希望高铁再晚点这么久了） 不怎么喜欢拍图，所以确实没图没视频。
壹号酒店(松江万达店),匿名用户,房间是主题房 还可以 服务热情 还不错
壹号酒店(松江万达店),M516240****,第一次入住，看到网上评分高。就打算来体验一下，果然不虚此行，房东姐姐服务很好很热情，有求必应，电话一秒接通，很有耐心听我的诉求，必须点个赞，房间干净舒适，床很软很舒服，房间采光不错，也很安静，周围停车也挺方便的，姐姐给我们推荐的停车位很优惠，下次还会来的，值得推荐 服务人员超级好，进门办理会细心询问，而且非常体贴，行李拿不下礼宾小伙子还会主动帮忙、其次酒店卫生真的非常干净，客房大姐打扫卫生的时候非常细致，就连角落的卫生死角都清理的干干净净，酒店隔音也很不错，基本上听不得任何杂音、酒店设施就更不用说了，非常棒、
壹号酒店(松江万达店),M651071****,房间挺好的 不错 干净利落 服务好
壹号酒店(松江万达店),M268854****,必须给个好评，每次来松江都住这里，床品是真的舒服，能安心睡个好觉，价格实惠不说，房间还很大，很不错，这次入住算是有一个惊喜了，房间还是一样的好，一如既往的很满意。
壹号酒店(松江万达店),M647390****,房间挺好的服务热情 可以😊大厅干净
壹号酒店(松江万达店),愿时光能缓，愿故人不散,新装修的，气味有点大，其他还好，地方也算好找。
壹号酒店(松江万达店),M686336****,房间环境很好 前台服务很棒 微笑服务 房间床和地面很干净 总体来说都不错 主要服务这方面很到位 入住体验感比较不错 下次还会来的
壹号酒店(松江万达店),M643851****,房间大 服务好 卫生干净
壹号酒店(松江万达店),M539883****,第一次入住 感觉挺好的 设施：设备齐全 使用感佳 卫生：卫生处理的挺好的 很干净 进去就感觉很整洁 环境：环境优美哈 位置也很好找 服务：服务态度很好 有事情找前台也第一时间解决了 总体来说非常不错 下次还会再来
壹号酒店(松江万达店),M370691****,第一间房间，墙体上大片渗水霉迹，服务很好，告知立即换房，第二间房没有这样的迹象，但是地板明显的泡坏了，感受不是很好，连订三天的房住了一晚立马换酒店
壹号酒店(松江万达店),英俊的蔡先生,主题房比较大，但不适合商务出差，原来订的商务高级标间，平台升级为主题房，内有一些主题设施，感觉不商务，又换回标间。
壹号酒店(松江万达店),M327386****,也不给我说直接开成靠电梯的那间房， 平台上也没标注，所以不会在入住，房间各项设施也差，一会儿去平台上在投诉一下。
壹号酒店(松江万达店),M526300****,酒店地理位置很好，十字路口，交通都方便。过来出差选的酒店，档次相当不错，性价比可以说是相当的不错了，酒店环境也挺好，周边吃饭的地方也多，前台接待服务态度很好，很亲切， 服务也很细致，打扫房间的阿姨很热心，必须给个赞！大堂明亮，通风好，有休息的地方，总的来说还是不错的，房间比较大，干净整洁，该有的都有！
壹号酒店(松江万达店),香山1984,价格非常实惠，房间也挺大的，空间足够。不过睡觉的时候总感觉有点异味，其他的还好吧。位置在松江大学城，距离地铁站不远，比较方便。
壹号酒店(松江万达店),M436175****,这家酒店的服务真的非常出色，员工态度友好、专业，让 我感到非常舒适和安心。房间干净整洁，床铺舒适，卫生 间干净卫生，一切都让我感到非常满意。酒店的位置也非 常优越，交通便利，周边设施齐全，楼下水果店，餐厅 多，非常方便。总的来说，这家酒店的价格实惠，性价比 较高，是 一个非常不错的选择
壹号酒店(松江万达店),匿名用户,环境很好，卫生撒的蛮好，服务员的服务态度也挺好的，前台美女也很热情，回头肯定在主这个酒店，值得推荐。
壹号酒店(松江万达店),M272345****,卫生很干净 前台很温柔很满意的入住体验 大厅很大 办理入住很快 床垫舒服 前台很热心体贴 期待下次入住
壹号酒店(松江万达店),M687491****,房间很干净，出去玩儿很方便，对面的万达广场吃的用的都非常方便，买东西还便宜！周围环境也非常好！安全卫生！酒店服务的小姑娘非常细心！
壹号酒店(松江万达店),M558154****,房间很不错，给我的是森林主题的，刚进去感觉比较新奇，还挺有意思的，周边有很多好吃的，好玩的，离万达很近，逛街很方便哦，值得推荐，主要是价格也很便宜性价比很高
壹号酒店(松江万达店),M527942****,房间很有意思，地板和床有点脏，然后虽然是新开业但是不是新装修，热水器要等一两分钟才热，桌子很小一个很鸡肋。不过我在138这个价位订的还算可以，前台让我们刷业绩，难评
壹号酒店(松江万达店),M596687****,必须给个好评，床品是真的舒服，能安心睡个好觉，这酒店的品质，价格实惠不说，房间还大，这次入住算是有一个惊喜了，还是主题房，超级有感觉的，很满意，很满意。
壹号酒店(松江万达店),匿名用户,美女前台服务热情，很有的家感觉。房间生卫干净整齐，网络信号很好，上网很快，空调制热果效好。交通出行方便，出差错不的选择！
壹号酒店(松江万达店),M652198****,停车 这家分店讨我喜欢干净整洁的大厅干净敞亮的房间前台服务很热情很耐心能看得出来是很用心在做好服务这份工作的，停车场吃饭周边都很方便，两人住的房间空间很大，采光也不错。
壹号酒店(松江万达店),匿名用户,太离谱了 装修像是ktv的包房 还有灯光和音响 走廊的装饰都是比基尼女郎。。。遇到问题找前台也是三四次都得不到解决 明明是连住 白天还是要敲门询问是否续住
壹号酒店(松江万达店),匿名用户,这家酒店地理位置十分优越，周边出行和购物都很方便。房间干净整洁，基础设施一应俱全。工作人员服务态度也很好，给人一种宾至如归的感觉，下次还会选择这家酒店。
壹号酒店(松江万达店),M430266****,住两天，一直没人打扫，住进去前发现里面像没有清洗干净一样，水壶还有满满一壶水，漱口台还有灰，有一股怪味
壹号酒店(松江万达店),M745537****,第一次入住这家酒店，环境，服务，卫生各方面都很不错，让人很舒服，下次有机会到上海，还会选择这家
壹号酒店(松江万达店),M672399****,坐车累了一天订了离万达近的酒店，方便出行，房间设施齐全，卫生比较干净，也很安静，服务周到，初来乍到，不懂都能耐心解答，整体性价比高
壹号酒店(松江万达店),匿名用户,前台服务好 悠悠很很 每次叫她立马叫上来了 没有态度差 很细心。没有不耐烦 很喜欢这个前台
壹号酒店(松江万达店),M314172****,卫生：很干净，让我们很惊喜，这么便宜的价钱，这么好的酒店。 服务：前台很温柔，客气，态度很好，很有耐心
壹号酒店(松江万达店),_CFT010000002910****,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好
壹号酒店(松江万达店),M518893****,房间很棒，进去全是不一样的主题，感受特别好，有停车场，周边九十万达广场，还有很多好吃，好玩的，很方便，酒店床品也很好，睡起来都很舒服。
壹号酒店(松江万达店),M747273****,位置很好，就在大学城 设施：很完善 卫生：很干净 环境：很清净，不吵 服务：服务态度很好
壹号酒店(松江万达店),匿名用户,位置很好找 大厅和房间都非常干净 设施齐全 前台和客房打扫的阿姨都笑盈盈的 很亲切 附近有许多好吃的餐厅小吃 性价比很高 特别满意的一次体验
壹号酒店(松江万达店),M268022****,位置和环境很好，非常高大上，关键是价格真的很给力，前台小姐姐的服务也很贴心，下次还会入住的
壹号酒店(松江万达店),匿名用户,房间非常干净 比较有特色 我很喜欢 而且周边外卖到的也很快 这边工作人员也很热情 总体来说还是特别满意的
壹号酒店(松江万达店),M525376****,位置好，服务好，住过两次了，每次来前台都很热情，有电梯，很方便，房间是主题房，格局都不一样，体验感还是很不错的，下次还会再来的。
壹号酒店(松江万达店),M506748****,一家非常不错的酒店 地理位置方便 房间干净清爽 酒店的服务也很到位 推荐入住
壹号酒店(松江万达店),匿名用户,帮客户预订，离要去的目的地非常近，附近吃饭也很方便，房间干净整洁，设施设备齐全，服务满意，推荐入住。
壹号酒店(松江万达店),匿名用户,停车方便，入住很快，房间也比较舒适，价格不贵，环境也不错，卫生打扫的干净，出差入住首选，值得推荐
壹号酒店(松江万达店),M300037****,非常棒 交通便利 吃饭方便 经济实惠 高大上 前台小姐姐服务特别好 停车场也方便很近
壹号酒店(松江万达店),匿名用户,刚进门的时候，发现前台小姐姐很有礼貌，然后服务很好，卫生很干净，然后旁边有卖小吃，然后很推荐很推荐我和女朋友都很满意
壹号酒店(松江万达店),M730989****,和朋友一起出来玩的 进入酒店 环境很干净 吧台服务员 服务态度很热情 这次是不错的出行
壹号酒店(松江万达店),xajhy520520,地理位置好，床特别舒适睡的很舒服，唯一不足的就是空调不好，不制热，隔音效果挺好以后还会继续入住
壹号酒店(松江万达店),缘分天空txq,房间很大，也很干净，特别明亮，装修风格也很独特，地理位置也很好，购物方便，前台服务也很贴心。
壹号酒店(松江万达店),永远18岁耶,这家酒店的设施十分先进，让人感到非常舒适。床铺整洁，枕头和被子也非常舒适。入住后感觉满分！前台人员也很热情友好！
壹号酒店(松江万达店),M603778****,感觉体验非常的好 服务很周到 价格也挺实惠的 认我度过了一个安逸的晚上。
壹号酒店(松江万达店),M273558****,这家酒店很有特色，然后牙具什么的也不需要从前台拿，然后下午是一点退房也挺晚的，适合情侣住，也特别的有主题风格
壹号酒店(松江万达店),M365451****,在松江万达可以住到这样性价比的房间超值，房间干净卫生，舒适，旁边就是万达广场，吃饭也方便，满意，墙烈推荐
壹号酒店(松江万达店),M505148****,房间干净整洁，服务也很好，临时出差选择这里性价比也很高，推荐👍
壹号酒店(松江万达店),M530191****,酒店的整体服务非常好，干净整洁宽敞 前台服务热情，整体感受五颗星！
壹号酒店(松江万达店),匿名用户,很垃圾，各种刷单，房间很差，卫生很差，订商务大床房根本就没有，都是破旧的主题房
壹号酒店(松江万达店),M407686****,好的 不错。小姐姐好看 挺好的。房间干净。 服务热情。附近有吃饭的地方
壹号酒店(松江万达店),M515252****,一点也不好，不会再住了，卫生不好，屋内环境不好，而且厕所都没有门，味道也很重
壹号酒店(松江万达店),M470702****,前台小姐姐很好看附近交通也很方便对面就是万达可以领小孩子来往
壹号酒店(松江万达店),匿名用户,房间不供应瓶装水，室内中央空调开机声音有点大，淋浴用水流量不大，体验感一般。
壹号酒店(松江万达店),姜姜姜姜缎,房间不干净，窗户玻璃是碎的，设施陈旧，服务人员态度差，酒店打扫不干净
壹号酒店(松江万达店),退休的王大爷,酒店很不错 在万达边上，周边吃的很多。晚上跟女朋友住了一晚，酒店服务很好，床也很舒服，下次一定还是再订这边。
壹号酒店(松江万达店),M54070****,出差订的酒店，价格比周边低的，总体还是不错的一次入住体验！服务态度好，房间很大，床品也很舒适，推荐！
壹号酒店(松江万达店),M528182****,很干净，很好，值得入住，下次来出差继续住，很好的酒店，性价比很高
壹号酒店(松江万达店),M22886****,酒店非常好 住的舒服 房间大 价格优惠 特别前天服务特别好
壹号酒店(松江万达店),M532343****,价格实惠 房间干净卫生 ，隔音效果不错。下次来了还订这里
壹号酒店(松江万达店),M504738****,很好的酒店，性价比很高，干净卫生，值得推荐，以后到上海还住这里
壹号酒店(松江万达店),_WeChat25938****,房间很干净 明亮，服务也很暖心 地理位置很好 离万达广场很近，以后来上海还选择这家酒店，👍
壹号酒店(松江万达店),M353306****,房间整洁干净，有问题找前台美女都会不厌其烦的帮我解决，特别好
壹号酒店(松江万达店),M741658****,房间环境不错，卫生很干净，服务态度很好，住的很舒适，下次还来
壹号酒店(松江万达店),320311****,出差路过这家酒店，在这家酒店居住了几天，感觉卫生和环境氛围都挺好的，有机会再过来住吧
壹号酒店(松江万达店),M283747****,干净整洁，酒店服务态度很好，用品也挺全的。体验感不错
壹号酒店(松江万达店),匿名用户,酒店环境不错，地下停车方便，前台服务热情 性价比很高，值得推荐。
壹号酒店(松江万达店),M736867****,酒店卫生干净、前台小姐姐服务真好、整体相对很满意 好评.
壹号酒店(松江万达店),M41490****,看了点评过来的，确实不错，一进到酒店，就很高大尚的感觉，大厅宽敞，前台小姑娘服务很专业，也很热情，酒店设施环境与图片也完全一致！隔音效果好，很安静，安全很到位。房间设施都蛮新的，被子床单都很干净整洁，房间很干净，物品摆放整齐，很舒服，位置就是万达广场对面，可以说是零距离了，逛万达非常非常方便，交通也方便，刚好在十字路口的位置，公交，打车啥的都方便，房间网络都是独立的，流畅，非常好，推荐入住。
壹号酒店(松江万达店),M373654****,房间宽敞明亮，干净整洁，前台服务周到，洗浴用品质很高，用起来非常愉悦，很好的一次体验。
壹号酒店(松江万达店),M659014****,房间卫生干净，环境优雅，气氛轻松自在，酒店服务态度热情周到，让我们留下了深刻的印象。
